"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Race"	"Race Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Gum and Other Mouth"	"20050"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Male"	"M"	133
	"Gum and Other Mouth"	"20050"	"Asian or Pacific Islander"	"A-PI"	"85+ years"	"85+"	"Female"	"F"	191
	"Gum and Other Mouth"	"20050"	"Asian or Pacific Islander"	"A-PI"	"85+ years"	"85+"	"Male"	"M"	122
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Female"	"F"	31
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Male"	"M"	18
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Female"	"F"	33
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Male"	"M"	25
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Female"	"F"	65
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Male"	"M"	52
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Female"	"F"	83
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Male"	"M"	65
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Female"	"F"	138
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Male"	"M"	156
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Female"	"F"	227
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Male"	"M"	276
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Female"	"F"	363
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Male"	"M"	586
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Female"	"F"	531
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Male"	"M"	885
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Female"	"F"	587
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Male"	"M"	1119
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Female"	"F"	624
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Male"	"M"	1096
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Female"	"F"	521
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Male"	"M"	914
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Female"	"F"	450
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Male"	"M"	619
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Female"	"F"	397
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Male"	"M"	411
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Female"	"F"	295
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Male"	"M"	268
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Female"	"F"	397
	"Gum and Other Mouth"	"20050"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Male"	"M"	168
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"5-9 years"	"5-9"	"Female"	"F"	43
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"5-9 years"	"5-9"	"Male"	"M"	41
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"10-14 years"	"10-14"	"Female"	"F"	93
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"10-14 years"	"10-14"	"Male"	"M"	68
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"15-19 years"	"15-19"	"Female"	"F"	143
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"15-19 years"	"15-19"	"Male"	"M"	105
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"20-24 years"	"20-24"	"Female"	"F"	167
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"20-24 years"	"20-24"	"Male"	"M"	116
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"25-29 years"	"25-29"	"Female"	"F"	279
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"25-29 years"	"25-29"	"Male"	"M"	235
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"30-34 years"	"30-34"	"Female"	"F"	365
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"30-34 years"	"30-34"	"Male"	"M"	351
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"35-39 years"	"35-39"	"Female"	"F"	555
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"35-39 years"	"35-39"	"Male"	"M"	662
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"40-44 years"	"40-44"	"Female"	"F"	888
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"40-44 years"	"40-44"	"Male"	"M"	1326
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"45-49 years"	"45-49"	"Female"	"F"	1575
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"45-49 years"	"45-49"	"Male"	"M"	2818
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"50-54 years"	"50-54"	"Female"	"F"	2598
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"50-54 years"	"50-54"	"Male"	"M"	4823
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"55-59 years"	"55-59"	"Female"	"F"	3592
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"55-59 years"	"55-59"	"Male"	"M"	6890
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"60-64 years "	"60-64"	"Female"	"F"	4352
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"60-64 years "	"60-64"	"Male"	"M"	7947
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"65-69 years"	"65-69"	"Female"	"F"	5252
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"65-69 years"	"65-69"	"Male"	"M"	8087
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"70-74 years"	"70-74"	"Female"	"F"	5815
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"70-74 years"	"70-74"	"Male"	"M"	7315
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"75-79 years"	"75-79"	"Female"	"F"	6195
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"75-79 years"	"75-79"	"Male"	"M"	6116
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"80-84 years"	"80-84"	"Female"	"F"	5936
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"80-84 years"	"80-84"	"Male"	"M"	4449
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"85+ years"	"85+"	"Female"	"F"	7452
	"Gum and Other Mouth"	"20050"	"White"	"2106-3"	"85+ years"	"85+"	"Male"	"M"	3896
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"30-34 years"	"30-34"	"Female"	"F"	18
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"30-34 years"	"30-34"	"Male"	"M"	16
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"35-39 years"	"35-39"	"Female"	"F"	25
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"35-39 years"	"35-39"	"Male"	"M"	28
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"40-44 years"	"40-44"	"Female"	"F"	25
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"40-44 years"	"40-44"	"Male"	"M"	43
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Female"	"F"	35
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Male"	"M"	58
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Female"	"F"	51
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Male"	"M"	68
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Female"	"F"	64
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Male"	"M"	87
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Female"	"F"	43
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Male"	"M"	96
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Female"	"F"	58
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Male"	"M"	92
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"70-74 years"	"70-74"	"Female"	"F"	60
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"70-74 years"	"70-74"	"Male"	"M"	72
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"75-79 years"	"75-79"	"Female"	"F"	56
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"75-79 years"	"75-79"	"Male"	"M"	58
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"80-84 years"	"80-84"	"Female"	"F"	51
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"80-84 years"	"80-84"	"Male"	"M"	52
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"85+ years"	"85+"	"Female"	"F"	51
	"Gum and Other Mouth"	"20050"	"Other Races and Unknown combined"	"2131-1"	"85+ years"	"85+"	"Male"	"M"	29
	"Nasopharynx"	"20060"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	"Male"	"M"	24
	"Nasopharynx"	"20060"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	"Male"	"M"	33
	"Nasopharynx"	"20060"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	"Female"	"F"	20
	"Nasopharynx"	"20060"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	"Male"	"M"	43
	"Nasopharynx"	"20060"	"American Indian or Alaska Native"	"1002-5"	"55-59 years"	"55-59"	"Male"	"M"	47
	"Nasopharynx"	"20060"	"American Indian or Alaska Native"	"1002-5"	"60-64 years "	"60-64"	"Female"	"F"	21
	"Nasopharynx"	"20060"	"American Indian or Alaska Native"	"1002-5"	"60-64 years "	"60-64"	"Male"	"M"	38
	"Nasopharynx"	"20060"	"American Indian or Alaska Native"	"1002-5"	"65-69 years"	"65-69"	"Male"	"M"	33
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"10-14 years"	"10-14"	"Male"	"M"	18
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"15-19 years"	"15-19"	"Female"	"F"	19
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"15-19 years"	"15-19"	"Male"	"M"	34
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"20-24 years"	"20-24"	"Female"	"F"	35
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"20-24 years"	"20-24"	"Male"	"M"	61
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"Female"	"F"	68
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"Male"	"M"	110
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"Female"	"F"	137
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"Male"	"M"	253
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"Female"	"F"	245
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"Male"	"M"	459
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"Female"	"F"	281
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"Male"	"M"	693
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"Female"	"F"	304
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"Male"	"M"	815
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"Female"	"F"	346
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"Male"	"M"	857
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Female"	"F"	301
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Male"	"M"	773
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Female"	"F"	238
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Male"	"M"	608
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Female"	"F"	175
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Male"	"M"	485
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"70-74 years"	"70-74"	"Female"	"F"	116
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"70-74 years"	"70-74"	"Male"	"M"	319
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"75-79 years"	"75-79"	"Female"	"F"	66
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"75-79 years"	"75-79"	"Male"	"M"	198
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Female"	"F"	50
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Male"	"M"	112
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"85+ years"	"85+"	"Female"	"F"	53
	"Nasopharynx"	"20060"	"Asian or Pacific Islander"	"A-PI"	"85+ years"	"85+"	"Male"	"M"	52
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"Female"	"F"	16
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"Male"	"M"	17
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"10-14 years"	"10-14"	"Female"	"F"	56
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"10-14 years"	"10-14"	"Male"	"M"	98
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Female"	"F"	82
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Male"	"M"	171
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Female"	"F"	62
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Male"	"M"	126
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Female"	"F"	43
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Male"	"M"	110
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Female"	"F"	65
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Male"	"M"	124
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Female"	"F"	101
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Male"	"M"	188
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Female"	"F"	128
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Male"	"M"	288
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Female"	"F"	171
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Male"	"M"	454
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Female"	"F"	204
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Male"	"M"	525
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Female"	"F"	185
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Male"	"M"	564
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Female"	"F"	181
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Male"	"M"	455
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Female"	"F"	153
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Male"	"M"	357
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Female"	"F"	106
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Male"	"M"	246
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Female"	"F"	91
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Male"	"M"	161
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Female"	"F"	52
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Male"	"M"	71
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Female"	"F"	42
	"Nasopharynx"	"20060"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Male"	"M"	39
	"Nasopharynx"	"20060"	"White"	"2106-3"	"1-4 years"	"1-4"	"Female"	"F"	38
	"Nasopharynx"	"20060"	"White"	"2106-3"	"1-4 years"	"1-4"	"Male"	"M"	52
	"Nasopharynx"	"20060"	"White"	"2106-3"	"5-9 years"	"5-9"	"Female"	"F"	44
	"Nasopharynx"	"20060"	"White"	"2106-3"	"5-9 years"	"5-9"	"Male"	"M"	64
	"Nasopharynx"	"20060"	"White"	"2106-3"	"10-14 years"	"10-14"	"Female"	"F"	74
	"Nasopharynx"	"20060"	"White"	"2106-3"	"10-14 years"	"10-14"	"Male"	"M"	110
	"Nasopharynx"	"20060"	"White"	"2106-3"	"15-19 years"	"15-19"	"Female"	"F"	105
	"Nasopharynx"	"20060"	"White"	"2106-3"	"15-19 years"	"15-19"	"Male"	"M"	209
	"Nasopharynx"	"20060"	"White"	"2106-3"	"20-24 years"	"20-24"	"Female"	"F"	102
	"Nasopharynx"	"20060"	"White"	"2106-3"	"20-24 years"	"20-24"	"Male"	"M"	202
	"Nasopharynx"	"20060"	"White"	"2106-3"	"25-29 years"	"25-29"	"Female"	"F"	100
	"Nasopharynx"	"20060"	"White"	"2106-3"	"25-29 years"	"25-29"	"Male"	"M"	181
	"Nasopharynx"	"20060"	"White"	"2106-3"	"30-34 years"	"30-34"	"Female"	"F"	158
	"Nasopharynx"	"20060"	"White"	"2106-3"	"30-34 years"	"30-34"	"Male"	"M"	265
	"Nasopharynx"	"20060"	"White"	"2106-3"	"35-39 years"	"35-39"	"Female"	"F"	194
	"Nasopharynx"	"20060"	"White"	"2106-3"	"35-39 years"	"35-39"	"Male"	"M"	495
	"Nasopharynx"	"20060"	"White"	"2106-3"	"40-44 years"	"40-44"	"Female"	"F"	384
	"Nasopharynx"	"20060"	"White"	"2106-3"	"40-44 years"	"40-44"	"Male"	"M"	902
	"Nasopharynx"	"20060"	"White"	"2106-3"	"45-49 years"	"45-49"	"Female"	"F"	500
	"Nasopharynx"	"20060"	"White"	"2106-3"	"45-49 years"	"45-49"	"Male"	"M"	1493
	"Nasopharynx"	"20060"	"White"	"2106-3"	"50-54 years"	"50-54"	"Female"	"F"	744
	"Nasopharynx"	"20060"	"White"	"2106-3"	"50-54 years"	"50-54"	"Male"	"M"	2198
	"Nasopharynx"	"20060"	"White"	"2106-3"	"55-59 years"	"55-59"	"Female"	"F"	882
	"Nasopharynx"	"20060"	"White"	"2106-3"	"55-59 years"	"55-59"	"Male"	"M"	2666
	"Nasopharynx"	"20060"	"White"	"2106-3"	"60-64 years "	"60-64"	"Female"	"F"	924
	"Nasopharynx"	"20060"	"White"	"2106-3"	"60-64 years "	"60-64"	"Male"	"M"	2469
	"Nasopharynx"	"20060"	"White"	"2106-3"	"65-69 years"	"65-69"	"Female"	"F"	845
	"Nasopharynx"	"20060"	"White"	"2106-3"	"65-69 years"	"65-69"	"Male"	"M"	2077
	"Nasopharynx"	"20060"	"White"	"2106-3"	"70-74 years"	"70-74"	"Female"	"F"	727
	"Nasopharynx"	"20060"	"White"	"2106-3"	"70-74 years"	"70-74"	"Male"	"M"	1542
	"Nasopharynx"	"20060"	"White"	"2106-3"	"75-79 years"	"75-79"	"Female"	"F"	647
	"Nasopharynx"	"20060"	"White"	"2106-3"	"75-79 years"	"75-79"	"Male"	"M"	1072
	"Nasopharynx"	"20060"	"White"	"2106-3"	"80-84 years"	"80-84"	"Female"	"F"	489
	"Nasopharynx"	"20060"	"White"	"2106-3"	"80-84 years"	"80-84"	"Male"	"M"	643
	"Nasopharynx"	"20060"	"White"	"2106-3"	"85+ years"	"85+"	"Female"	"F"	411
	"Nasopharynx"	"20060"	"White"	"2106-3"	"85+ years"	"85+"	"Male"	"M"	424
	"Nasopharynx"	"20060"	"Other Races and Unknown combined"	"2131-1"	"35-39 years"	"35-39"	"Male"	"M"	28
	"Nasopharynx"	"20060"	"Other Races and Unknown combined"	"2131-1"	"40-44 years"	"40-44"	"Male"	"M"	39
	"Nasopharynx"	"20060"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Female"	"F"	17
	"Nasopharynx"	"20060"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Male"	"M"	32
	"Nasopharynx"	"20060"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Female"	"F"	20
	"Nasopharynx"	"20060"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Male"	"M"	35
	"Nasopharynx"	"20060"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Female"	"F"	22
	"Nasopharynx"	"20060"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Male"	"M"	37
	"Nasopharynx"	"20060"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Female"	"F"	16
	"Nasopharynx"	"20060"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Male"	"M"	29
	"Nasopharynx"	"20060"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Male"	"M"	29
	"Tonsil"	"20070"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	"Male"	"M"	39
	"Tonsil"	"20070"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	"Male"	"M"	92
	"Tonsil"	"20070"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	"Female"	"F"	27
	"Tonsil"	"20070"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	"Male"	"M"	135
	"Tonsil"	"20070"	"American Indian or Alaska Native"	"1002-5"	"55-59 years"	"55-59"	"Female"	"F"	17
	"Tonsil"	"20070"	"American Indian or Alaska Native"	"1002-5"	"55-59 years"	"55-59"	"Male"	"M"	152
	"Tonsil"	"20070"	"American Indian or Alaska Native"	"1002-5"	"60-64 years "	"60-64"	"Female"	"F"	27
	"Tonsil"	"20070"	"American Indian or Alaska Native"	"1002-5"	"60-64 years "	"60-64"	"Male"	"M"	142
	"Tonsil"	"20070"	"American Indian or Alaska Native"	"1002-5"	"65-69 years"	"65-69"	"Female"	"F"	24
	"Tonsil"	"20070"	"American Indian or Alaska Native"	"1002-5"	"65-69 years"	"65-69"	"Male"	"M"	87
	"Tonsil"	"20070"	"American Indian or Alaska Native"	"1002-5"	"70-74 years"	"70-74"	"Male"	"M"	45
	"Tonsil"	"20070"	"American Indian or Alaska Native"	"1002-5"	"75-79 years"	"75-79"	"Male"	"M"	22
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"Male"	"M"	16
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"Female"	"F"	18
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"Male"	"M"	44
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"Female"	"F"	28
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"Male"	"M"	65
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"Female"	"F"	44
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"Male"	"M"	142
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"Female"	"F"	49
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"Male"	"M"	225
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Female"	"F"	62
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Male"	"M"	245
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Female"	"F"	70
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Male"	"M"	259
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Female"	"F"	63
	"Tonsil"	"20070"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Male"	"M"	201
