"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"Colon and Rectum"	"21041-21052"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	1940
	"Colon and Rectum"	"21041-21052"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	1157
	"Colon and Rectum"	"21041-21052"	"65-69 years"	"65-69"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	6010
	"Colon and Rectum"	"21041-21052"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	23583
	"Colon and Rectum"	"21041-21052"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	143821
	"Colon and Rectum"	"21041-21052"	"65-69 years"	"65-69"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	1332
	"Colon and Rectum"	"21041-21052"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	1401
	"Colon and Rectum"	"21041-21052"	"65-69 years"	"65-69"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	7611
	"Colon and Rectum"	"21041-21052"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	26335
	"Colon and Rectum"	"21041-21052"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	193363
	"Colon and Rectum"	"21041-21052"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	1753
	"Colon and Rectum"	"21041-21052"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	1126
	"Colon and Rectum"	"21041-21052"	"70-74 years"	"70-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	5639
	"Colon and Rectum"	"21041-21052"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	21631
	"Colon and Rectum"	"21041-21052"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	160911
	"Colon and Rectum"	"21041-21052"	"70-74 years"	"70-74"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	1182
	"Colon and Rectum"	"21041-21052"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	1227
	"Colon and Rectum"	"21041-21052"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	6685
	"Colon and Rectum"	"21041-21052"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	22056
	"Colon and Rectum"	"21041-21052"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	193445
	"Colon and Rectum"	"21041-21052"	"70-74 years"	"70-74"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	1344
	"Colon and Rectum"	"21041-21052"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	911
	"Colon and Rectum"	"21041-21052"	"75-79 years"	"75-79"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	5184
	"Colon and Rectum"	"21041-21052"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	19977
	"Colon and Rectum"	"21041-21052"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	178560
	"Colon and Rectum"	"21041-21052"	"75-79 years"	"75-79"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	936
	"Colon and Rectum"	"21041-21052"	"75-79 years"	"75-79"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	901
	"Colon and Rectum"	"21041-21052"	"75-79 years"	"75-79"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	5573
	"Colon and Rectum"	"21041-21052"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	17704
	"Colon and Rectum"	"21041-21052"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	183343
	"Colon and Rectum"	"21041-21052"	"75-79 years"	"75-79"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	1006
	"Colon and Rectum"	"21041-21052"	"80-84 years"	"80-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	651
	"Colon and Rectum"	"21041-21052"	"80-84 years"	"80-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	4597
	"Colon and Rectum"	"21041-21052"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	16478
	"Colon and Rectum"	"21041-21052"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	174391
	"Colon and Rectum"	"21041-21052"	"80-84 years"	"80-84"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	725
	"Colon and Rectum"	"21041-21052"	"80-84 years"	"80-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	616
	"Colon and Rectum"	"21041-21052"	"80-84 years"	"80-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	3976
	"Colon and Rectum"	"21041-21052"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	12187
	"Colon and Rectum"	"21041-21052"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	145968
	"Colon and Rectum"	"21041-21052"	"80-84 years"	"80-84"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	617
	"Colon and Rectum"	"21041-21052"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	599
	"Colon and Rectum"	"21041-21052"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	4830
	"Colon and Rectum"	"21041-21052"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	17565
	"Colon and Rectum"	"21041-21052"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	211157
	"Colon and Rectum"	"21041-21052"	"85+ years"	"85+"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	761
	"Colon and Rectum"	"21041-21052"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	376
	"Colon and Rectum"	"21041-21052"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	3379
	"Colon and Rectum"	"21041-21052"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	9056
	"Colon and Rectum"	"21041-21052"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	124214
	"Colon and Rectum"	"21041-21052"	"85+ years"	"85+"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	476
	"Corpus Uteri"	"27020"	"15-19 years"	"15-19"	"Female"	"F"	"Black or African American"	"2054-5"	20
	"Corpus Uteri"	"27020"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	86
	"Corpus Uteri"	"27020"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	61
	"Corpus Uteri"	"27020"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	156
	"Corpus Uteri"	"27020"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	639
	"Corpus Uteri"	"27020"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	22
	"Corpus Uteri"	"27020"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	73
	"Corpus Uteri"	"27020"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	279
	"Corpus Uteri"	"27020"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	535
	"Corpus Uteri"	"27020"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	2983
	"Corpus Uteri"	"27020"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	91
	"Corpus Uteri"	"27020"	"30-34 years"	"30-34"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	167
	"Corpus Uteri"	"27020"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	745
	"Corpus Uteri"	"27020"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	1214
	"Corpus Uteri"	"27020"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	7903
	"Corpus Uteri"	"27020"	"30-34 years"	"30-34"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	252
	"Corpus Uteri"	"27020"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	316
	"Corpus Uteri"	"27020"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1388
	"Corpus Uteri"	"27020"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	2041
	"Corpus Uteri"	"27020"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	15615
	"Corpus Uteri"	"27020"	"35-39 years"	"35-39"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	380
	"Corpus Uteri"	"27020"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	457
	"Corpus Uteri"	"27020"	"40-44 years"	"40-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	2194
	"Corpus Uteri"	"27020"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	3225
	"Corpus Uteri"	"27020"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	27424
	"Corpus Uteri"	"27020"	"40-44 years"	"40-44"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	592
	"Corpus Uteri"	"27020"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	551
	"Corpus Uteri"	"27020"	"45-49 years"	"45-49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	3697
	"Corpus Uteri"	"27020"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	4738
	"Corpus Uteri"	"27020"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	47301
	"Corpus Uteri"	"27020"	"45-49 years"	"45-49"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	808
	"Corpus Uteri"	"27020"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	785
	"Corpus Uteri"	"27020"	"50-54 years"	"50-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	5362
	"Corpus Uteri"	"27020"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	8067
	"Corpus Uteri"	"27020"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	88649
	"Corpus Uteri"	"27020"	"50-54 years"	"50-54"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	1315
	"Corpus Uteri"	"27020"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	976
	"Corpus Uteri"	"27020"	"55-59 years"	"55-59"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	5983
	"Corpus Uteri"	"27020"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	14580
	"Corpus Uteri"	"27020"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	130939
	"Corpus Uteri"	"27020"	"55-59 years"	"55-59"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	1655
	"Corpus Uteri"	"27020"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	861
	"Corpus Uteri"	"27020"	"60-64 years "	"60-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	5159
	"Corpus Uteri"	"27020"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	20258
	"Corpus Uteri"	"27020"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	140254
	"Corpus Uteri"	"27020"	"60-64 years "	"60-64"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	1559
	"Corpus Uteri"	"27020"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	717
	"Corpus Uteri"	"27020"	"65-69 years"	"65-69"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	4039
	"Corpus Uteri"	"27020"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	18784
	"Corpus Uteri"	"27020"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	128555
	"Corpus Uteri"	"27020"	"65-69 years"	"65-69"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	1173
	"Corpus Uteri"	"27020"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	442
	"Corpus Uteri"	"27020"	"70-74 years"	"70-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	2707
	"Corpus Uteri"	"27020"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	12977
	"Corpus Uteri"	"27020"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	98318
	"Corpus Uteri"	"27020"	"70-74 years"	"70-74"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	771
	"Corpus Uteri"	"27020"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	273
	"Corpus Uteri"	"27020"	"75-79 years"	"75-79"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	1617
	"Corpus Uteri"	"27020"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	8388
	"Corpus Uteri"	"27020"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	71441
	"Corpus Uteri"	"27020"	"75-79 years"	"75-79"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	466
	"Corpus Uteri"	"27020"	"80-84 years"	"80-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	162
	"Corpus Uteri"	"27020"	"80-84 years"	"80-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	852
	"Corpus Uteri"	"27020"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	4819
	"Corpus Uteri"	"27020"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	47801
	"Corpus Uteri"	"27020"	"80-84 years"	"80-84"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	276
	"Corpus Uteri"	"27020"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	85
	"Corpus Uteri"	"27020"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	590
	"Corpus Uteri"	"27020"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	3332
	"Corpus Uteri"	"27020"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	36035
	"Corpus Uteri"	"27020"	"85+ years"	"85+"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	206
	"Esophagus"	"21010"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	28
	"Esophagus"	"21010"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	66
	"Esophagus"	"21010"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	49
	"Esophagus"	"21010"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	17
	"Esophagus"	"21010"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	18
	"Esophagus"	"21010"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	202
	"Esophagus"	"21010"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	33
	"Esophagus"	"21010"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	130
	"Esophagus"	"21010"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	21
	"Esophagus"	"21010"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	31
	"Esophagus"	"21010"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	551
	"Esophagus"	"21010"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	18
	"Esophagus"	"21010"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	72
	"Esophagus"	"21010"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	281
	"Esophagus"	"21010"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	16
	"Esophagus"	"21010"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	48
	"Esophagus"	"21010"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	144
	"Esophagus"	"21010"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	1508
	"Esophagus"	"21010"	"40-44 years"	"40-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	34
	"Esophagus"	"21010"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	252
	"Esophagus"	"21010"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	692
	"Esophagus"	"21010"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	44
	"Esophagus"	"21010"	"40-44 years"	"40-44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	102
	"Esophagus"	"21010"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	540
	"Esophagus"	"21010"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	3897
	"Esophagus"	"21010"	"40-44 years"	"40-44"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	30
	"Esophagus"	"21010"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	21
	"Esophagus"	"21010"	"45-49 years"	"45-49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	57
	"Esophagus"	"21010"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	538
	"Esophagus"	"21010"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	1677
	"Esophagus"	"21010"	"45-49 years"	"45-49"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	21
	"Esophagus"	"21010"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	75
	"Esophagus"	"21010"	"45-49 years"	"45-49"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	242
	"Esophagus"	"21010"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	1434
	"Esophagus"	"21010"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	9079
	"Esophagus"	"21010"	"45-49 years"	"45-49"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	47
	"Esophagus"	"21010"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	32
	"Esophagus"	"21010"	"50-54 years"	"50-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	97
	"Esophagus"	"21010"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	1114
	"Esophagus"	"21010"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	3244
	"Esophagus"	"21010"	"50-54 years"	"50-54"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	28
	"Esophagus"	"21010"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	149
	"Esophagus"	"21010"	"50-54 years"	"50-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	404
	"Esophagus"	"21010"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	2729
	"Esophagus"	"21010"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	18088
	"Esophagus"	"21010"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	106
	"Esophagus"	"21010"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	64
	"Esophagus"	"21010"	"55-59 years"	"55-59"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	162
	"Esophagus"	"21010"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	1613
	"Esophagus"	"21010"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	5323
	"Esophagus"	"21010"	"55-59 years"	"55-59"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	49
	"Esophagus"	"21010"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	222
	"Esophagus"	"21010"	"55-59 years"	"55-59"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	580
	"Esophagus"	"21010"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	4165
	"Esophagus"	"21010"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	28658
	"Esophagus"	"21010"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	162
	"Esophagus"	"21010"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	81
	"Esophagus"	"21010"	"60-64 years "	"60-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	204
	"Esophagus"	"21010"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	1666
	"Esophagus"	"21010"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	7163
	"Esophagus"	"21010"	"60-64 years "	"60-64"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	40
	"Esophagus"	"21010"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	252
	"Esophagus"	"21010"	"60-64 years "	"60-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	801
	"Esophagus"	"21010"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	4797
	"Esophagus"	"21010"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	37331
	"Esophagus"	"21010"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	207
	"Esophagus"	"21010"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	62
	"Esophagus"	"21010"	"65-69 years"	"65-69"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	247
	"Esophagus"	"21010"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	1540
	"Esophagus"	"21010"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	8618
	"Esophagus"	"21010"	"65-69 years"	"65-69"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	58
	"Esophagus"	"21010"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	256
	"Esophagus"	"21010"	"65-69 years"	"65-69"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	799
	"Esophagus"	"21010"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	4303
	"Esophagus"	"21010"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	40099
	"Esophagus"	"21010"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	192
	"Esophagus"	"21010"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	69
	"Esophagus"	"21010"	"70-74 years"	"70-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	283
	"Esophagus"	"21010"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	1408
	"Esophagus"	"21010"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	9582
	"Esophagus"	"21010"	"70-74 years"	"70-74"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	52
	"Esophagus"	"21010"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	217
	"Esophagus"	"21010"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	766
	"Esophagus"	"21010"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	3287
	"Esophagus"	"21010"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	37881
	"Esophagus"	"21010"	"70-74 years"	"70-74"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	172
	"Esophagus"	"21010"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	39
	"Esophagus"	"21010"	"75-79 years"	"75-79"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	239
	"Esophagus"	"21010"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	1190
	"Esophagus"	"21010"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	9298
	"Esophagus"	"21010"	"75-79 years"	"75-79"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	31
	"Esophagus"	"21010"	"75-79 years"	"75-79"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	147
	"Esophagus"	"21010"	"75-79 years"	"75-79"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	601
	"Esophagus"	"21010"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	2425
	"Esophagus"	"21010"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	30987
	"Esophagus"	"21010"	"75-79 years"	"75-79"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	113
	"Esophagus"	"21010"	"80-84 years"	"80-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	39
	"Esophagus"	"21010"	"80-84 years"	"80-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	201
	"Esophagus"	"21010"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	846
	"Esophagus"	"21010"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	8342
	"Esophagus"	"21010"	"80-84 years"	"80-84"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	38
	"Esophagus"	"21010"	"80-84 years"	"80-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	91
	"Esophagus"	"21010"	"80-84 years"	"80-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	451
	"Esophagus"	"21010"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	1285
	"Esophagus"	"21010"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	21913
	"Esophagus"	"21010"	"80-84 years"	"80-84"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	86
	"Esophagus"	"21010"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	33
	"Esophagus"	"21010"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	219
	"Esophagus"	"21010"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	758
	"Esophagus"	"21010"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	9700
	"Esophagus"	"21010"	"85+ years"	"85+"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	40
	"Esophagus"	"21010"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	47
	"Esophagus"	"21010"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	330
